,Site,Measurement,DateTime,Value,IQR*4 + Q3
12873,SQ34869,Total Phosphorus,2014-04-29 13:01:00,1.27,0.193
12903,SQ34869,Total Phosphorus,2017-07-18 10:36:00,0.4,0.193
12905,SQ34869,Total Phosphorus,2017-09-26 10:26:00,3.2,0.193
12910,SQ34869,Total Phosphorus,2018-06-19 11:59:00,0.66,0.193
12915,SQ34869,Total Phosphorus,2018-11-30 10:35:00,0.31,0.193
12963,SQ34884,Total Phosphorus,2013-11-05 13:12:00,0.2,0.17400000000000002
13059,SQ34903,Total Phosphorus,2011-08-18 11:45:00,0.1,0.057999999999999996
13085,SQ34903,Total Phosphorus,2018-02-02 10:22:00,0.072,0.057999999999999996
13086,SQ34903,Total Phosphorus,2018-05-11 10:16:00,0.063,0.057999999999999996
13125,SQ34905,Total Phosphorus,2008-08-28 09:55:00,0.094,0.06599999999999999
13137,SQ34905,Total Phosphorus,2011-08-18 11:55:00,0.1,0.06599999999999999
13163,SQ34905,Total Phosphorus,2018-02-02 10:49:00,0.076,0.06599999999999999
13236,SQ34908,Total Phosphorus,2014-12-16 11:45:00,0.048,0.034999999999999996
13257,SQ35080,Total Phosphorus,2012-08-16 10:26:00,0.29,0.168
13261,SQ35080,Total Phosphorus,2013-07-09 12:21:00,0.171,0.168
13262,SQ35080,Total Phosphorus,2013-10-10 11:43:00,0.17,0.168
13286,SQ35119,Total Phosphorus,2013-10-22 10:45:00,0.038,0.024
13324,SQ35156,Total Phosphorus,2009-02-03 09:07:00,0.36,0.122
13364,SQ35156,Total Phosphorus,2014-12-01 11:32:00,0.28,0.122
13435,SQ35157,Total Phosphorus,2009-02-03 00:00:00,0.14,0.10200000000000002
13477,SQ35157,Total Phosphorus,2018-12-03 12:48:00,0.11,0.10200000000000002
13499,SQ35172,Total Phosphorus,2013-09-25 10:22:00,1.43,0.071
13519,SQ35172,Total Phosphorus,2015-12-21 09:50:00,0.134,0.071
13532,SQ35172,Total Phosphorus,2017-09-26 08:59:00,0.078,0.071
13544,SQ35172,Total Phosphorus,2018-10-30 09:10:00,1.41,0.071
13545,SQ35172,Total Phosphorus,2018-11-26 08:51:00,0.76,0.071
13548,SQ35172,Total Phosphorus,2019-02-26 09:11:00,0.103,0.071
13553,SQ35172,Total Phosphorus,2019-07-22 10:18:00,0.28,0.071
13559,SQ35173,Total Phosphorus,2007-10-18 08:25:00,0.12,0.068
13586,SQ35173,Total Phosphorus,2013-09-25 14:07:00,0.104,0.068
13608,SQ35173,Total Phosphorus,2015-07-29 11:19:00,0.083,0.068
13633,SQ35173,Total Phosphorus,2018-02-26 13:25:00,0.126,0.068
13641,SQ35173,Total Phosphorus,2018-10-30 15:09:00,0.54,0.068
13642,SQ35173,Total Phosphorus,2018-11-26 14:03:00,0.106,0.068
13653,SQ35173,Total Phosphorus,2019-10-24 15:14:00,0.186,0.068
13704,SQ35174,Total Phosphorus,2017-09-26 14:28:00,2.5,1.152
13709,SQ35174,Total Phosphorus,2018-02-26 13:50:00,3.2,1.152
13710,SQ35174,Total Phosphorus,2018-03-26 14:50:00,1.51,1.152
13717,SQ35174,Total Phosphorus,2018-10-30 15:41:00,4.7,1.152
13718,SQ35174,Total Phosphorus,2018-11-26 14:30:00,5.4,1.152
13816,SQ35234,Total Phosphorus,2014-12-01 10:58:00,0.21,0.15
13854,SQ35235,Total Phosphorus,2009-12-02 10:39:00,0.32,0.182
13867,SQ35235,Total Phosphorus,2013-03-05 11:36:00,0.184,0.182
13890,SQ35235,Total Phosphorus,2018-12-03 13:15:00,0.26,0.182
13989,SQ35362,Total Phosphorus,2019-02-13 11:33:00,0.095,0.071
14011,SQ35363,Total Phosphorus,2014-04-24 12:00:00,0.192,0.053000000000000005
14022,SQ35363,Total Phosphorus,2017-03-16 13:05:00,0.11,0.053000000000000005
14064,SQ35364,Total Phosphorus,2017-01-30 11:25:00,0.095,0.07100000000000001
14145,SQ35639,Total Phosphorus,2015-05-19 14:56:00,0.035,0.030999999999999996
14209,SQ35792,Total Phosphorus,2012-05-10 09:00:00,0.057,0.041999999999999996
14231,SQ35792,Total Phosphorus,2014-12-16 08:31:00,0.091,0.041999999999999996
14312,SQ35798,Total Phosphorus,2013-06-24 12:38:00,0.059,0.057999999999999996
14322,SQ35798,Total Phosphorus,2014-04-28 11:55:00,0.115,0.057999999999999996
14371,SQ35798,Total Phosphorus,2018-11-29 10:57:00,0.094,0.057999999999999996
14376,SQ35798,Total Phosphorus,2019-04-30 11:03:00,0.176,0.057999999999999996
14391,SQ35800,Total Phosphorus,2013-04-23 15:25:00,2.1,0.6980000000000001
14394,SQ35800,Total Phosphorus,2013-07-24 15:53:00,1.06,0.6980000000000001
14414,SQ35800,Total Phosphorus,2015-04-28 11:49:00,1.13,0.6980000000000001
14444,SQ35800,Total Phosphorus,2018-11-26 13:07:00,3.6,0.6980000000000001
14451,SQ35800,Total Phosphorus,2019-07-22 15:21:00,1.18,0.6980000000000001
14469,SQ35818,Total Phosphorus,2018-04-17 11:18:00,0.078,0.040999999999999995
14491,SQ35871,Total Phosphorus,2018-02-20 11:24:00,1.69,0.17600000000000002
14492,SQ35871,Total Phosphorus,2018-03-22 11:33:00,0.98,0.17600000000000002
14494,SQ35871,Total Phosphorus,2018-11-09 12:00:00,0.68,0.17600000000000002
14533,SQ35872,Total Phosphorus,2017-10-11 09:13:00,0.111,0.026000000000000002
14539,SQ35872,Total Phosphorus,2018-06-13 09:26:00,0.56,0.026000000000000002
14540,SQ35872,Total Phosphorus,2018-07-11 09:55:00,0.036,0.026000000000000002
14574,SQ35873,Total Phosphorus,2016-02-18 12:38:00,0.29,0.102
14582,SQ35873,Total Phosphorus,2017-01-19 10:52:00,1.02,0.102
14588,SQ35873,Total Phosphorus,2017-09-19 12:49:00,0.198,0.102
14593,SQ35873,Total Phosphorus,2018-02-22 12:14:00,0.26,0.102
14606,SQ35873,Total Phosphorus,2019-12-19 12:42:00,0.12,0.102
14645,SQ35874,Total Phosphorus,2017-01-19 09:19:00,0.034,0.030999999999999996
14754,SQ35876,Total Phosphorus,2013-10-23 10:30:00,0.086,0.06599999999999999
14763,SQ35876,Total Phosphorus,2015-05-13 09:49:00,0.129,0.06599999999999999
14770,SQ35876,Total Phosphorus,2016-02-19 08:50:00,0.26,0.06599999999999999
14831,SQ35888,Total Phosphorus,2018-02-23 11:16:00,1.0,0.43
14832,SQ35888,Total Phosphorus,2018-03-08 12:35:00,0.47,0.43
14852,SQ35962,Total Phosphorus,2016-11-17 09:26:00,0.011,0.01
14900,SQ36148,Total Phosphorus,2018-01-29 10:15:00,0.021,0.02
38,SQ10005,Turbidity,2013-09-26 13:05:00,51.0,10.174999999999999
58,SQ10005,Turbidity,2015-05-13 10:26:00,34.0,10.174999999999999
59,SQ10005,Turbidity,2015-06-18 10:28:00,13.0,10.174999999999999
76,SQ10005,Turbidity,2016-11-18 09:15:00,13.7,10.174999999999999
397,SQ10057,Turbidity,2015-04-22 10:24:00,11.2,3.3000000000000003
400,SQ10057,Turbidity,2016-01-20 09:22:00,12.7,3.3000000000000003
407,SQ10057,Turbidity,2017-10-10 08:38:00,23.0,3.3000000000000003
415,SQ10160,Turbidity,2005-12-20 10:40:00,18.0,2.8
447,SQ10160,Turbidity,2013-05-20 12:02:00,12.5,2.8
456,SQ10160,Turbidity,2014-02-14 12:00:00,61.0,2.8
458,SQ10160,Turbidity,2014-04-22 13:00:00,17.6,2.8
460,SQ10160,Turbidity,2014-06-12 12:55:00,44.0,2.8
468,SQ10160,Turbidity,2015-02-10 11:13:00,4.0,2.8
490,SQ10160,Turbidity,2016-12-12 11:56:00,8.8,2.8
500,SQ10160,Turbidity,2017-10-10 11:20:00,4.5,2.8
504,SQ10160,Turbidity,2018-02-20 11:54:00,31.0,2.8
505,SQ10160,Turbidity,2018-03-22 11:56:00,15.4,2.8
513,SQ10160,Turbidity,2018-11-09 12:33:00,179.0,2.8
527,SQ10167,Turbidity,2005-12-20 09:45:00,76.0,1.7
543,SQ10167,Turbidity,2010-04-27 13:24:00,4.2,1.7
552,SQ10167,Turbidity,2013-05-20 13:12:00,2.0,1.7
560,SQ10167,Turbidity,2014-01-16 10:10:00,4.3,1.7
563,SQ10167,Turbidity,2014-04-22 11:30:00,7.1,1.7
565,SQ10167,Turbidity,2014-06-12 11:20:00,5.8,1.7
595,SQ10167,Turbidity,2018-02-20 10:34:00,163.0,1.7
596,SQ10167,Turbidity,2018-03-22 10:34:00,6.2,1.7
604,SQ10167,Turbidity,2018-11-09 11:05:00,290.0,1.7
656,SQ10174,Turbidity,2013-11-12 08:00:00,420.0,5.3999999999999995
658,SQ10174,Turbidity,2014-01-16 07:55:00,27.0,5.3999999999999995
662,SQ10174,Turbidity,2014-05-21 08:50:00,7.6,5.3999999999999995
670,SQ10174,Turbidity,2015-01-22 08:05:00,32.0,5.3999999999999995
717,SQ10174,Turbidity,2018-12-11 08:34:00,6.6,5.3999999999999995
729,SQ10174,Turbidity,2019-12-16 08:37:00,13.5,5.3999999999999995
748,SQ10206,Turbidity,2013-10-24 08:40:00,2.3,1.7
829,SQ10275,Turbidity,2014-01-20 11:10:00,11.4,8.1
931,SQ10301,Turbidity,2013-04-23 08:05:00,3.4,2.8
933,SQ10301,Turbidity,2013-06-20 10:32:00,30.0,2.8
934,SQ10301,Turbidity,2013-07-23 11:20:00,3.4,2.8
945,SQ10301,Turbidity,2014-06-10 12:05:00,3.4,2.8
969,SQ10301,Turbidity,2016-06-22 11:00:00,3.2,2.8
974,SQ10301,Turbidity,2016-11-18 09:56:00,106.0,2.8
976,SQ10301,Turbidity,2017-01-26 14:00:00,7.3,2.8
983,SQ10301,Turbidity,2017-08-30 13:20:00,6.3,2.8
984,SQ10301,Turbidity,2017-09-20 11:52:00,49.0,2.8
989,SQ10301,Turbidity,2018-02-23 10:41:00,50.0,2.8
998,SQ10301,Turbidity,2018-11-14 11:46:00,6.6,2.8
1072,SQ10804,Turbidity,2017-07-19 13:30:00,8.7,6.699999999999999
1140,SQ10814,Turbidity,2005-02-15 11:15:00,10.0,4.0
1147,SQ10814,Turbidity,2006-07-12 10:55:00,4.4,4.0
1198,SQ10814,Turbidity,2015-04-22 10:10:00,7.5,4.0
1207,SQ10814,Turbidity,2016-01-20 08:54:00,8.0,4.0
1208,SQ10814,Turbidity,2016-02-16 08:47:00,4.7,4.0
1232,SQ10814,Turbidity,2018-02-20 08:59:00,6.0,4.0
1233,SQ10814,Turbidity,2018-03-22 09:05:00,7.4,4.0
1241,SQ10814,Turbidity,2018-11-09 09:49:00,440.0,4.0
1285,SQ10818,Turbidity,2011-10-12 10:52:00,130.0,122.6
1410,SQ10852,Turbidity,2014-07-16 12:10:00,23.0,11.125
1432,SQ20104,Turbidity,2004-02-16 10:25:00,170.0,65.72500000000001
1434,SQ20104,Turbidity,2004-08-17 12:45:00,68.0,65.72500000000001
1436,SQ20104,Turbidity,2005-02-14 11:20:00,100.0,65.72500000000001
1453,SQ20104,Turbidity,2009-05-19 11:12:00,270.0,65.72500000000001
1471,SQ20104,Turbidity,2013-07-09 11:28:00,90.0,65.72500000000001
1475,SQ20104,Turbidity,2013-12-09 12:20:00,81.0,65.72500000000001
1510,SQ20104,Turbidity,2016-11-16 14:05:00,125.0,65.72500000000001
1519,SQ20104,Turbidity,2017-08-23 14:50:00,70.0,65.72500000000001
1520,SQ20104,Turbidity,2017-09-19 13:33:00,810.0,65.72500000000001
1525,SQ20104,Turbidity,2018-02-22 14:12:00,620.0,65.72500000000001
1528,SQ20104,Turbidity,2018-05-23 15:02:00,126.0,65.72500000000001
1534,SQ20104,Turbidity,2018-11-29 14:06:00,132.0,65.72500000000001
1538,SQ20104,Turbidity,2019-03-28 14:10:00,1150.0,65.72500000000001
1547,SQ20104,Turbidity,2019-12-19 12:29:00,199.0,65.72500000000001
1548,SQ20106,Turbidity,2004-02-16 10:10:00,270.0,186.8
1559,SQ20106,Turbidity,2009-05-19 10:53:00,390.0,186.8
1580,SQ20106,Turbidity,2017-01-19 12:24:00,240.0,186.8
1593,SQ20107,Turbidity,2004-08-17 12:00:00,37.0,16.625
1612,SQ20107,Turbidity,2009-05-19 10:37:00,130.0,16.625
1625,SQ20107,Turbidity,2012-08-16 11:38:00,32.0,16.625
1629,SQ20107,Turbidity,2013-07-09 11:00:00,51.0,16.625
1630,SQ20107,Turbidity,2013-10-10 09:46:00,22.0,16.625
1632,SQ20107,Turbidity,2014-04-08 12:30:00,18.0,16.625
1643,SQ20107,Turbidity,2017-01-19 11:58:00,18.3,16.625
1652,SQ20107,Turbidity,2019-04-30 12:57:00,17.4,16.625
1655,SQ20112,Turbidity,2004-02-16 09:20:00,300.0,80.5
1676,SQ20112,Turbidity,2009-05-19 09:54:00,280.0,80.5
1737,SQ20112,Turbidity,2017-01-19 08:14:00,320.0,80.5
1745,SQ20112,Turbidity,2017-09-19 10:07:00,240.0,80.5
1749,SQ20112,Turbidity,2018-02-22 09:19:00,510.0,80.5
1752,SQ20112,Turbidity,2018-05-23 09:53:00,200.0,80.5
1758,SQ20112,Turbidity,2018-11-29 09:50:00,250.0,80.5
1771,SQ20112,Turbidity,2019-12-19 09:58:00,220.0,80.5
1775,SQ20175,Turbidity,2004-11-22 12:05:00,86.0,78.85
1784,SQ20175,Turbidity,2007-03-14 10:30:00,140.0,78.85
1798,SQ20175,Turbidity,2010-08-16 10:05:00,82.0,78.85
1811,SQ20175,Turbidity,2013-06-04 09:43:00,1380.0,78.85
1828,SQ20175,Turbidity,2014-11-04 11:32:00,180.0,78.85
1831,SQ20175,Turbidity,2015-02-04 11:59:00,172.0,78.85
1835,SQ20175,Turbidity,2015-06-11 13:00:00,183.0,78.85
1870,SQ20175,Turbidity,2018-05-01 13:20:00,93.0,78.85
1876,SQ20175,Turbidity,2018-11-05 12:39:00,88.0,78.85
1887,SQ20175,Turbidity,2019-10-01 12:12:00,90.0,78.85
1889,SQ20175,Turbidity,2019-12-04 12:06:00,2200.0,78.85
1902,SQ20176,Turbidity,2007-03-14 09:46:00,120.0,92.3
1932,SQ20176,Turbidity,2014-11-04 12:24:00,155.0,92.3
1933,SQ20176,Turbidity,2015-02-04 11:25:00,145.0,92.3
1992,SQ20177,Turbidity,2013-06-04 10:32:00,560.0,103.85
2009,SQ20177,Turbidity,2014-11-04 10:52:00,127.0,103.85
2012,SQ20177,Turbidity,2015-02-04 10:41:00,125.0,103.85
2016,SQ20177,Turbidity,2015-06-11 12:10:00,130.0,103.85
2058,SQ20177,Turbidity,2018-12-05 11:19:00,182.0,103.85
2070,SQ20177,Turbidity,2019-12-04 10:57:00,2300.0,103.85
2120,SQ20195,Turbidity,2013-05-07 09:12:00,14.1,5.0
2125,SQ20195,Turbidity,2013-10-09 07:55:00,26.0,5.0
2133,SQ20195,Turbidity,2014-06-11 08:30:00,12.9,5.0
2167,SQ20195,Turbidity,2017-04-12 12:01:00,10.0,5.0
2176,SQ20195,Turbidity,2018-01-12 08:13:00,10.8,5.0
2224,SQ20199,Turbidity,2008-08-12 14:42:00,17.0,11.075000000000001
2240,SQ20199,Turbidity,2012-08-08 10:26:00,120.0,11.075000000000001
2260,SQ20199,Turbidity,2017-08-14 10:27:00,56.0,11.075000000000001
2267,SQ20199,Turbidity,2019-05-30 13:07:00,18.8,11.075000000000001
2275,SQ20203,Turbidity,2013-09-12 10:40:00,102.0,13.8
2276,SQ20203,Turbidity,2013-10-15 08:10:00,210.0,13.8
2282,SQ20203,Turbidity,2014-04-23 09:10:00,22.0,13.8
2307,SQ20203,Turbidity,2016-05-17 09:01:00,15.5,13.8
2309,SQ20203,Turbidity,2016-07-14 09:44:00,460.0,13.8
2313,SQ20203,Turbidity,2016-11-16 11:14:00,18.0,13.8
2318,SQ20203,Turbidity,2017-04-13 09:00:00,38.0,13.8
2322,SQ20203,Turbidity,2017-08-25 10:50:00,26.0,13.8
2324,SQ20203,Turbidity,2017-10-13 09:30:00,15.7,13.8
2328,SQ20203,Turbidity,2018-02-22 08:00:00,290.0,13.8
2337,SQ20203,Turbidity,2018-11-12 08:39:00,122.0,13.8
2338,SQ20203,Turbidity,2018-12-05 08:55:00,26.0,13.8
2350,SQ20203,Turbidity,2019-12-11 09:51:00,98.0,13.8
2354,SQ20236,Turbidity,2004-12-14 11:35:00,57.0,20.0
2361,SQ20236,Turbidity,2006-09-12 11:40:00,40.0,20.0
2371,SQ20236,Turbidity,2009-03-11 11:30:00,77.0,20.0
2404,SQ20236,Turbidity,2017-08-14 09:48:00,460.0,20.0
2439,SQ20252,Turbidity,2010-06-09 00:00:00,6.1,3.3000000000000003
2450,SQ20252,Turbidity,2013-05-07 08:35:00,20.0,3.3000000000000003
2451,SQ20252,Turbidity,2013-06-05 09:06:00,10.2,3.3000000000000003
2455,SQ20252,Turbidity,2013-10-09 07:20:00,80.0,3.3000000000000003
2463,SQ20252,Turbidity,2014-06-11 08:15:00,94.0,3.3000000000000003
2503,SQ20252,Turbidity,2017-10-12 08:45:00,19.5,3.3000000000000003
2506,SQ20252,Turbidity,2018-01-12 07:48:00,26.0,3.3000000000000003
2508,SQ20252,Turbidity,2018-03-08 07:59:00,11.0,3.3000000000000003
2511,SQ20252,Turbidity,2018-06-12 08:50:00,4.9,3.3000000000000003
2516,SQ20252,Turbidity,2018-11-02 07:45:00,5.8,3.3000000000000003
2517,SQ20252,Turbidity,2018-12-04 08:03:00,36.0,3.3000000000000003
2564,SQ20318,Turbidity,2011-09-12 14:48:00,22.0,7.0
2649,SQ20318,Turbidity,2019-11-06 08:53:00,72.0,7.0
2707,SQ20332,Turbidity,2015-03-17 09:43:00,2.5,1.7
2723,SQ20332,Turbidity,2016-07-14 10:18:00,4.2,1.7
2732,SQ20332,Turbidity,2017-04-13 09:30:00,2.1,1.7
2742,SQ20332,Turbidity,2018-02-22 09:04:00,3.2,1.7
2750,SQ20332,Turbidity,2018-10-12 09:45:00,3.6,1.7
2774,SQ20350,Turbidity,2006-06-26 10:05:00,2.5,2.3
2789,SQ20350,Turbidity,2010-06-08 09:53:00,22.0,2.3
2805,SQ20350,Turbidity,2013-10-15 11:25:00,23.0,2.3
2811,SQ20350,Turbidity,2014-04-23 11:20:00,7.5,2.3
2813,SQ20350,Turbidity,2014-06-18 12:36:00,2.5,2.3
2842,SQ20350,Turbidity,2016-11-16 13:21:00,10.1,2.3
2847,SQ20350,Turbidity,2017-04-13 10:52:00,6.5,2.3
2853,SQ20350,Turbidity,2017-10-13 11:20:00,4.0,2.3
2857,SQ20350,Turbidity,2018-02-22 11:22:00,194.0,2.3
2866,SQ20350,Turbidity,2018-11-12 10:49:00,29.0,2.3
2867,SQ20350,Turbidity,2018-12-05 10:47:00,2.4,2.3
2915,SQ20401,Turbidity,2012-08-14 10:10:00,100.0,54.199999999999996
2953,SQ20450,Turbidity,2013-10-15 13:20:00,2.3,1.9500000000000002
2959,SQ20450,Turbidity,2014-04-23 12:55:00,11.2,1.9500000000000002
2960,SQ20450,Turbidity,2014-05-16 13:00:00,2.8,1.9500000000000002
2968,SQ20450,Turbidity,2015-04-23 13:20:00,2.4,1.9500000000000002
2986,SQ20450,Turbidity,2016-11-16 07:29:00,6.3,1.9500000000000002
2991,SQ20450,Turbidity,2017-04-13 12:07:00,7.5,1.9500000000000002
3001,SQ20450,Turbidity,2018-02-22 11:40:00,28.0,1.9500000000000002
3010,SQ20450,Turbidity,2018-11-12 12:20:00,4.4,1.9500000000000002
3032,SQ20497,Turbidity,2013-12-09 10:30:00,71.0,67.1
3058,SQ20497,Turbidity,2016-02-18 11:42:00,400.0,67.1
3061,SQ20497,Turbidity,2016-05-18 12:04:00,152.0,67.1
3067,SQ20497,Turbidity,2016-11-16 12:04:00,68.0,67.1
3069,SQ20497,Turbidity,2017-01-19 09:49:00,1960.0,67.1
3082,SQ20497,Turbidity,2018-02-22 11:15:00,141.0,67.1
3095,SQ20497,Turbidity,2019-03-28 11:51:00,220.0,67.1
3104,SQ20497,Turbidity,2019-12-19 11:41:00,155.0,67.1
3159,SQ20509,Turbidity,2014-04-29 12:20:00,42.0,5.75
3170,SQ20509,Turbidity,2015-03-26 11:43:00,32.0,5.75
3219,SQ20509,Turbidity,2019-04-30 11:30:00,8.6,5.75
3258,SQ20541,Turbidity,2012-08-13 11:00:00,18.0,1.7999999999999998
3273,SQ20541,Turbidity,2016-05-18 10:46:00,2.6,1.7999999999999998
3278,SQ20541,Turbidity,2017-08-14 12:34:00,13.1,1.7999999999999998
3288,SQ20544,Turbidity,2004-02-18 11:30:00,6.0,5.425000000000001
3337,SQ20544,Turbidity,2016-05-25 09:30:00,5.6,5.425000000000001
3344,SQ20544,Turbidity,2018-02-13 08:25:00,6.4,5.425000000000001
3399,SQ20545,Turbidity,2012-08-13 11:22:00,6.5,4.025
3413,SQ20545,Turbidity,2013-10-09 10:00:00,7.5,4.025
3421,SQ20545,Turbidity,2014-06-11 10:30:00,6.2,4.025
3422,SQ20545,Turbidity,2014-07-09 11:57:00,7.9,4.025
3433,SQ20545,Turbidity,2015-06-09 12:15:00,9.0,4.025
3491,SQ20575,Turbidity,2004-08-09 10:55:00,4.1,3.4
3495,SQ20575,Turbidity,2004-12-06 10:35:00,19.0,3.4
3503,SQ20575,Turbidity,2005-10-11 09:40:00,9.1,3.4
3518,SQ20575,Turbidity,2009-07-07 11:52:00,15.0,3.4
3531,SQ20575,Turbidity,2012-10-16 09:55:00,8.7,3.4
3534,SQ20575,Turbidity,2013-05-20 09:35:00,13.3,3.4
3547,SQ20575,Turbidity,2014-06-19 09:52:00,10.8,3.4
3584,SQ20575,Turbidity,2017-07-04 09:57:00,6.6,3.4
3594,SQ20575,Turbidity,2018-05-02 09:35:00,8.6,3.4
3614,SQ20577,Turbidity,2004-04-19 12:15:00,3.5,2.5
3620,SQ20577,Turbidity,2005-10-11 10:30:00,4.4,2.5
3635,SQ20577,Turbidity,2009-07-07 13:09:00,14.0,2.5
3648,SQ20577,Turbidity,2012-10-16 08:15:00,4.5,2.5
3667,SQ20577,Turbidity,2017-07-04 10:46:00,10.3,2.5
3727,SQ20606,Turbidity,2014-04-23 12:10:00,78.0,5.3
3728,SQ20606,Turbidity,2014-05-16 12:20:00,12.5,5.3
3729,SQ20606,Turbidity,2014-06-18 13:35:00,9.9,5.3
3758,SQ20606,Turbidity,2016-11-16 07:01:00,8.1,5.3
3763,SQ20606,Turbidity,2017-04-13 11:30:00,17.5,5.3
3773,SQ20606,Turbidity,2018-02-22 12:06:00,44.0,5.3
3782,SQ20606,Turbidity,2018-11-12 11:51:00,6.4,5.3
3819,SQ20725,Turbidity,2010-06-08 13:12:00,6.7,2.8
3867,SQ20725,Turbidity,2016-07-14 11:00:00,2.9,2.8
3876,SQ20725,Turbidity,2017-04-13 10:00:00,7.0,2.8
3881,SQ20725,Turbidity,2017-09-18 11:13:00,10.0,2.8
3886,SQ20725,Turbidity,2018-02-22 09:25:00,22.0,2.8
3915,SQ20785,Turbidity,2011-01-20 08:17:00,6.2,4.5
3924,SQ20785,Turbidity,2011-10-26 08:23:00,7.4,4.5
3935,SQ20785,Turbidity,2013-06-19 08:32:00,30.0,4.5
3991,SQ20785,Turbidity,2018-02-22 08:11:00,31.0,4.5
4000,SQ20785,Turbidity,2018-11-13 07:38:00,4.8,4.5
4012,SQ20785,Turbidity,2019-11-07 07:40:00,4.6,4.5
4013,SQ20785,Turbidity,2019-12-12 10:00:00,21.0,4.5
4148,SQ21045,Turbidity,2017-08-14 11:30:00,129.0,21.6
4200,SQ21046,Turbidity,2012-08-22 13:36:00,17.0,10.3
4210,SQ21046,Turbidity,2015-02-27 08:15:00,18.5,10.3
4219,SQ21046,Turbidity,2017-05-19 10:33:00,21.0,10.3
4220,SQ21046,Turbidity,2017-08-14 11:40:00,108.0,10.3
4272,SQ21047,Turbidity,2012-08-22 12:59:00,25.0,17.049999999999997
4289,SQ21047,Turbidity,2014-06-11 11:15:00,27.0,17.049999999999997
4290,SQ21047,Turbidity,2014-07-09 10:44:00,18.6,17.049999999999997
4390,SQ21049,Turbidity,2012-08-15 12:33:00,63.0,11.975
4396,SQ21049,Turbidity,2013-07-09 12:41:00,12.6,11.975
4407,SQ21049,Turbidity,2014-06-11 11:40:00,36.0,11.975
4450,SQ21049,Turbidity,2018-01-12 11:37:00,13.4,11.975
4469,SQ21049,Turbidity,2019-08-07 12:44:00,12.6,11.975
4493,SQ21160,Turbidity,2005-08-01 10:50:00,22.0,16.5
4494,SQ21160,Turbidity,2005-09-05 10:55:00,18.0,16.5
4516,SQ21160,Turbidity,2007-07-03 10:00:00,38.0,16.5
4517,SQ21160,Turbidity,2007-08-06 10:02:00,22.0,16.5
4518,SQ21160,Turbidity,2007-09-04 09:40:00,18.0,16.5
4529,SQ21160,Turbidity,2009-02-12 11:37:00,95.0,16.5
4558,SQ21160,Turbidity,2012-08-09 11:38:00,87.0,16.5
4567,SQ21160,Turbidity,2013-05-20 10:23:00,22.0,16.5
4618,SQ21160,Turbidity,2017-08-14 12:37:00,72.0,16.5
4688,SQ21254,Turbidity,2007-07-03 09:30:00,88.0,16.9
4689,SQ21254,Turbidity,2007-08-06 09:33:00,27.0,16.9
4747,SQ21254,Turbidity,2012-08-09 11:22:00,130.0,16.9
4756,SQ21254,Turbidity,2013-05-20 11:05:00,21.0,16.9
4769,SQ21254,Turbidity,2014-06-19 12:25:00,17.2,16.9
4784,SQ21254,Turbidity,2015-09-04 11:44:00,22.0,16.9
4837,SQ21255,Turbidity,2008-08-13 10:37:00,13.0,12.0
4868,SQ21255,Turbidity,2012-08-09 11:56:00,98.0,12.0
4877,SQ21255,Turbidity,2013-05-20 10:51:00,19.6,12.0
4890,SQ21255,Turbidity,2014-06-19 12:50:00,20.0,12.0
4906,SQ21255,Turbidity,2015-10-06 12:41:00,15.4,12.0
4940,SQ21255,Turbidity,2018-08-10 11:54:00,21.0,12.0
4941,SQ21255,Turbidity,2018-09-03 11:29:00,31.0,12.0
4978,SQ21289,Turbidity,2009-07-07 12:36:00,21.0,8.7
4994,SQ21289,Turbidity,2013-05-20 11:24:00,18.5,8.7
5073,SQ21292,Turbidity,2004-01-14 09:30:00,7.5,3.0
5103,SQ21292,Turbidity,2009-07-07 11:37:00,14.0,3.0
5120,SQ21292,Turbidity,2013-07-11 10:35:00,9.8,3.0
5131,SQ21292,Turbidity,2014-06-19 11:00:00,3.5,3.0
5162,SQ21292,Turbidity,2017-01-12 10:17:00,4.3,3.0
5227,SQ21296,Turbidity,2009-07-07 10:51:00,22.0,14.05
5252,SQ21296,Turbidity,2015-10-06 09:50:00,61.0,14.05
5255,SQ21296,Turbidity,2016-07-06 09:45:00,24.0,14.05
5272,SQ21298,Turbidity,2004-08-09 09:50:00,3.0,1.7999999999999998
5276,SQ21298,Turbidity,2004-12-06 09:00:00,28.0,1.7999999999999998
5284,SQ21298,Turbidity,2005-10-11 08:35:00,4.2,1.7999999999999998
5298,SQ21298,Turbidity,2009-04-07 09:45:00,2.0,1.7999999999999998
5299,SQ21298,Turbidity,2009-07-07 10:04:00,18.0,1.7999999999999998
5317,SQ21298,Turbidity,2013-10-10 08:10:00,3.2,1.7999999999999998
5368,SQ21298,Turbidity,2018-01-09 08:55:00,2.2,1.7999999999999998
5372,SQ21298,Turbidity,2018-05-02 08:47:00,2.2,1.7999999999999998
5411,SQ21299,Turbidity,2009-07-07 10:24:00,59.0,22.2
5443,SQ21299,Turbidity,2017-07-04 13:00:00,37.0,22.2
5478,SQ21309,Turbidity,2008-08-18 11:10:00,5.0,4.300000000000001
5481,SQ21309,Turbidity,2009-05-26 11:11:00,11.0,4.300000000000001
5491,SQ21309,Turbidity,2012-08-15 11:20:00,77.0,4.300000000000001
5508,SQ21309,Turbidity,2017-08-14 13:20:00,490.0,4.300000000000001
